Polarization,Polarization_All,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Condition,Run
0.9840620457450222,0.9878359921901522,0.192,161.60000000000002,0.99009900990099,404.0,0.5,0.5,0.5,1.0,0.0959722823743606,50,M2_bridge_drop,8
0.9840620457450222,0.9878359921901522,0.192,161.60000000000002,0.99009900990099,404.0,0.5,0.5,0.5,1.0,0.0959722823743606,50,M3_no_heal_bonus,8
0.992670405899538,0.992820786238144,0.004,498.0,0.536144578313253,498.0,0.5,0.5,0.5,1.0,0.0789957355770142,50,M5_no_brand_safety,8
0.9859933820313956,0.9926317559969372,0.368,126.4,1.1993670886075949,316.0,0.5,0.5,0.5,1.0,0.1106464737793851,50,REF_baseline,8
0.9915192456201132,0.9915848576266773,0.002,199.6,0.5430861723446894,499.0,0.5338363514419853,0.9891370558375636,0.0235857142857142,41.937973294142594,0.0856779391120786,50,M4_full_no_decay,8
0.9936902427298284,0.9936765608883388,0.004,199.2,0.6004016064257028,498.0,0.5,0.5,0.5,1.0,0.0697502604792188,51,M0_bridge_intercept,9
0.9847318164536516,0.988358080259636,0.228,154.4,1.0569948186528495,386.0,0.5,0.5,0.5,1.0,0.0900156951493193,51,M2_bridge_drop,9
0.9942996661722424,0.99457309150184,0.056,188.8,1.1610169491525424,472.0,0.5,0.5,0.5,1.0,0.0746217076574219,51,M1_heal_only,9
0.9847318164536516,0.988358080259636,0.228,154.4,1.0569948186528495,386.0,0.5,0.5,0.5,1.0,0.0900156951493193,51,M3_no_heal_bonus,9
0.9936902427298284,0.9936765608883388,0.004,498.0,0.6004016064257028,498.0,0.5,0.5,0.5,1.0,0.0697502604792188,51,M5_no_brand_safety,9
0.98434034165053,0.9906477571726244,0.4,120.0,0.94,300.0,0.5,0.5,0.5,1.0,0.09240297314578,51,REF_baseline,9
0.9886766335061568,0.9886380825197616,0.002,199.6,0.593186372745491,499.0,0.5180080482897385,0.9820871862615588,0.0395485636114911,24.832436290460027,0.092511903086522,51,M4_full_no_decay,9
0.992707327250108,0.9927159604744354,0.002,199.6,0.6673346693386774,499.0,0.5,0.5,0.5,1.0,0.0784947477904169,52,M0_bridge_intercept,10
0.9929537191586344,0.9934139873121894,0.062,187.6,1.0383795309168444,469.0,0.5,0.5,0.5,1.0,0.0814554472253502,52,M1_heal_only,10
0.9919661415712004,0.9944168320851432,0.214,157.20000000000002,1.010178117048346,393.0,0.5,0.5,0.5,1.0,0.1049803303637795,52,M2_bridge_drop,10
0.9919661415712004,0.9944168320851432,0.214,157.20000000000002,1.010178117048346,393.0,0.5,0.5,0.5,1.0,0.1049803303637795,52,M3_no_heal_bonus,10
