Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Topology,Bridge,Run
0.9914901887507662,0.004,199.2,0.5261044176706827,498.0,0.5,0.5,0.5,1.0,0.2668085038566966,53,watts_strogatz,True,11
0.9902482058371518,0.006,198.8,0.5432595573440644,497.0,0.5,0.5,0.5,1.0,0.0893049196422987,54,ba,True,12
0.8961069463925228,0.35,130.0,0.6215384615384615,325.0,0.5,0.5,0.5,1.0,0.3543418803418803,54,watts_strogatz,False,12
0.8688296535817306,0.39,122.0,0.7016393442622951,305.0,0.5,0.5,0.5,1.0,0.1037119788588823,55,ba,False,13
0.9753668079676654,0.0,200.0,0.444,500.0,0.5,0.5,0.5,1.0,0.2593468253968254,54,watts_strogatz,True,12
0.9829581399886708,0.0,200.0,0.578,500.0,0.5,0.5,0.5,1.0,0.0804063152027331,55,ba,True,13
0.9577828482149384,0.344,131.20000000000002,0.423780487804878,328.0,0.5,0.5,0.5,1.0,0.3888586430507162,55,watts_strogatz,False,13
0.9779903213425544,0.408,118.4,0.8783783783783784,296.0,0.5,0.5,0.5,1.0,0.1106550940558293,56,ba,False,14
0.9908407187450116,0.002,199.6,0.5851703406813628,499.0,0.5,0.5,0.5,1.0,0.2986425231415212,55,watts_strogatz,True,13
0.9838244180842386,0.006,198.8,0.6257545271629779,497.0,0.5,0.5,0.5,1.0,0.0848937147661848,56,ba,True,14
0.9772242588014448,0.368,126.4,0.2468354430379747,316.0,0.5,0.5,0.5,1.0,0.3372463331324091,56,watts_strogatz,False,14
0.9820112443494085,0.002,199.6,0.5571142284569138,499.0,0.5,0.5,0.5,1.0,0.260144097719248,56,watts_strogatz,True,14
